epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,320.958,1.50373,0.68108,0.28458,1.12932,1.46599,0.95735,0.96875,0.96562,0.62563,0.92658,0.9375,0.89979,0.87983,1.27046,0.91339,0.08438,0.77527,1.53342,0.000803155,0.000803155,0.000803155
69,324.725,1.38504,0.32682,0.30693,1.05841,1.43138,0.98323,1,0.995,0.58491,0.92207,0.9375,0.912,0.89515,1.3967,0.87251,0.07666,0.81775,1.66016,0.000790262,0.000790262,0.000790262
70,328.478,1.51082,0.65025,0.29835,1.14647,1.50681,0.98024,1,0.995,0.5637,0.91952,0.9375,0.91554,0.90788,1.44875,0.8683,0.07994,0.83803,1.73778,0.000777369,0.000777369,0.000777369
71,332.314,1.55113,0.57348,0.28276,1.1156,1.47176,0.9825,1,0.995,0.58767,0.92134,0.9375,0.92446,0.92101,1.4006,0.86757,0.09322,0.79909,1.69946,0.000764476,0.000764476,0.000764476
72,336.134,1.48847,0.4625,0.30891,1.10441,1.46669,0.98384,1,0.995,0.57487,0.92261,0.9375,0.91125,0.88363,1.38117,0.87655,0.11244,0.83495,1.6705,0.000751583,0.000751583,0.000751583
73,340.044,1.45658,0.57964,0.2931,1.02182,1.39265,0.9797,1,0.995,0.57298,0.9188,0.9375,0.91812,0.88478,1.33741,0.88866,0.10457,0.80296,1.63511,0.000738689,0.000738689,0.000738689
74,343.878,1.44147,0.60191,0.28687,1.08974,1.42532,0.98626,1,0.995,0.59334,0.92433,0.9375,0.90801,0.88223,1.34314,0.89815,0.1095,0.7942,1.63755,0.000725796,0.000725796,0.000725796
75,347.651,1.41186,0.65865,0.25673,1.03404,1.37695,0.98852,1,0.995,0.59909,0.92682,0.9375,0.90312,0.87542,1.29244,0.90466,0.12032,0.76187,1.62077,0.000712903,0.000712903,0.000712903
76,351.489,1.45036,0.64391,0.28141,1.05236,1.40074,0.98654,1,0.995,0.62767,0.92491,0.9375,0.89062,0.84987,1.22623,0.87919,0.13638,0.74526,1.57469,0.00070001,0.00070001,0.00070001
77,355.178,1.4068,0.61866,0.28539,0.98425,1.38948,0.98593,1,0.995,0.62595,0.92434,0.9375,0.88375,0.84468,1.29075,0.87786,0.14575,0.72005,1.60117,0.000687117,0.000687117,0.000687117
